"country","year","gdp_capita","population","urban_pop","life_exp","eco_freedom","employment_ratio","gov_edu_expend","gov_health_expend","literacy","poverty","child_mortality","hunger"
"DOM","1990",3440.597792,7183646,0.55226,67.95041463,NA,NA,NA,NA,NA,NA,0.0602,NA
"DZA","1990",6617.728829,25912364,0.52085,66.69458537,NA,NA,NA,NA,NA,NA,0.0468,NA
"EAP","1990",1418.650693,1603652723,0.2816063983,67.8956796,NA,NA,NA,NA,0.797459,0.2152,0.0591,NA
"EAR","1990",2573.845638,2029981092,0.3496942429,60.61007582,NA,NA,NA,NA,0.6057981,NA,0.1090755667,NA
"EAS","1990",3165.075181,1820616892,0.3365013223,68.92980959,NA,NA,NA,NA,0.8205232,NA,0.05664822122,NA
"ECA","1990",6241.137586,385568047,0.6295966981,68.25626529,NA,NA,NA,NA,0.9402625,0.0057,0.0576,NA
"ECS","1990",11433.56625,842972172,0.6759682438,72.07460899,NA,NA,NA,NA,0.9727406,NA,0.0320849316,NA
"ECU","1990",4829.419559,10218085,0.5509,68.99536585,NA,NA,NA,NA,0.8829876,NA,0.0569,NA
"EGY","1990",3887.241533,56397273,0.43478,64.54907317,NA,NA,NA,NA,NA,NA,0.0859,NA
"EMU","1990",16771.96121,311522808,0.7129112799,75.89682735,NA,NA,NA,NA,NA,NA,0.01000378599,NA
"ERI","1990",NA,3139083,0.158,48.23595122,NA,NA,NA,NA,NA,NA,0.1514,NA
"ESP","1990",13691.83158,38850435,0.75351,76.83756098,NA,NA,NA,NA,NA,NA,0.011,NA
"EST","1990",NA,1569174,0.71231,69.47560976,NA,NA,NA,NA,NA,NA,0.0202,NA
"ETH","1990",421.6368044,48057094,0.12621,47.09956098,NA,NA,NA,NA,NA,NA,0.2046,NA
"EUU","1990",14939.4788,477988417,0.7049670445,74.85923994,NA,NA,NA,NA,NA,NA,0.0126323212,NA
"FCS","1990",1982.329913,258881635,0.3211370542,55.08201688,NA,NA,NA,NA,NA,0.1946,0.1466386492,NA
"FIN","1990",17906.13948,4986431,0.79367,74.81317073,NA,NA,NA,NA,NA,NA,0.0067,NA
"FJI","1990",4033.799572,728626,0.41611,65.57085366,NA,NA,NA,NA,NA,NA,0.0298,NA
"FRA","1990",17505.29198,58512808,0.74056,76.6,NA,NA,NA,NA,NA,NA,0.009,NA
"FRO","1990",NA,48031,0.30594,76.11463415,NA,NA,NA,NA,NA,NA,NA,NA
"FSM","1990",1785.85373,96331,0.25818,66.19758537,NA,NA,NA,NA,NA,NA,0.0556,NA
"GAB","1990",12603.20518,952269,0.69143,61.24014634,NA,NA,NA,NA,NA,NA,0.0929,NA
"GBR","1990",17446.30768,57247586,0.7814,75.8804878,NA,NA,NA,NA,NA,NA,0.0093,NA
"GEO","1990",5181.45078,4802000,0.55038,69.99960976,NA,NA,NA,NA,NA,NA,0.0477,NA
"GHA","1990",1240.698731,14628260,0.36441,56.75163415,NA,NA,NA,NA,NA,NA,0.1274,NA
"GIB","1990",NA,26833,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIN","1990",727.271403,6034082,0.28026,49.91885366,NA,NA,NA,NA,NA,NA,0.2382,NA
"GMB","1990",980.4609596,916811,0.38312,52.214,NA,NA,NA,NA,NA,NA,0.1702,NA
"GNB","1990",972.7584053,1056208,0.28131,49.07631707,NA,NA,NA,NA,NA,NA,0.2293,NA
"GNQ","1990",682.2971737,377363,0.34745,48.18953659,NA,NA,NA,NA,NA,NA,0.1895,NA
"GRC","1990",13250.86748,10196792,0.71467,76.93902439,NA,NA,NA,NA,NA,NA,0.0126,NA
"GRD","1990",4840.285505,96286,0.33428,68.47502439,NA,NA,NA,NA,NA,NA,0.0233,NA
"GRL","1990",NA,55600,0.79698,65.06829268,NA,NA,NA,NA,NA,NA,NA,NA
"GTM","1990",3334.690999,9158547,0.41117,62.23841463,NA,NA,NA,NA,NA,NA,0.0809,NA
"GUM","1990",NA,130482,0.90796,72.04409756,NA,NA,NA,NA,NA,NA,NA,NA
"GUY","1990",1892.509014,720282,0.29583,63.52317073,NA,NA,NA,NA,NA,NA,0.0604,NA
"HIC","1990",18091.99254,1001966223,0.7444842272,75.39984052,NA,NA,NA,NA,NA,NA,0.0156,NA
"HKG","1990",17434.43874,5704500,0.99517,77.3804878,NA,NA,NA,NA,NA,NA,NA,NA
"HND","1990",2071.681075,4903363,0.4046,66.68904878,NA,NA,NA,NA,NA,0.2077,0.0582,NA
"HPC","1990",930.774196,354714206,0.252592737,49.58981921,NA,NA,NA,NA,0.4547018,NA,0.1829688358,NA
"HRV","1990",NA,4780000,0.54039,72.1704878,NA,NA,NA,NA,NA,NA,0.0129,NA
"HTI","1990",NA,7099733,0.2851,54.56931707,NA,NA,NA,NA,NA,NA,0.1458,NA
"HUN","1990",NA,10373988,0.65838,69.31560976,NA,NA,NA,NA,NA,NA,0.0191,NA
"IBD","1990",2818.294369,3388684816,0.3886587687,65.27706755,NA,NA,NA,NA,0.7385441,0.1398,0.07838931729,NA
"IBT","1990",2487.160447,4308835687,0.3590447441,63.09692503,NA,NA,NA,NA,0.7007832,0.1561,0.101674436,NA
"IDA","1990",1286.337639,920150871,0.2497625797,55.08515732,NA,NA,NA,NA,0.5123327,0.2212,0.1568271412,NA
"IDB","1990",1820.84146,350159965,0.294323404,58.72617366,NA,NA,NA,NA,0.6331688,0.1773,0.1385984775,NA
"IDN","1990",2893.8335,181436821,0.30584,63.25990244,NA,NA,NA,NA,0.8151985,0.1721,0.0847,NA
"IDX","1990",952.3660583,569990906,0.2222980088,52.84862019,NA,NA,NA,NA,0.4836463,0.2531,0.1668783931,NA
"IMN","1990",NA,70312,0.51746,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND","1990",1146.027972,870601776,0.25547,57.94373171,NA,NA,NA,NA,NA,NA,0.1258,NA
"INX","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRL","1990",13384.26875,3513974,0.56906,74.74131707,NA,NA,NA,NA,NA,NA,0.0092,NA
"IRN","1990",6575.583579,56169196,0.5633,63.88287805,NA,NA,NA,NA,NA,0.0134,0.0575,NA
"IRQ","1990",7442.848865,17478455,0.69706,66.24034146,NA,NA,NA,NA,NA,NA,0.0541,NA
"ISL","1990",21806.82239,254826,0.9075,78.03634146,NA,NA,NA,NA,NA,NA,0.0064,NA
"ISR","1990",13381.07907,4660000,0.90359,76.60731707,NA,NA,NA,NA,NA,NA,0.0116,NA
"ITA","1990",18272.8598,56719240,0.66726,76.97073171,NA,NA,NA,NA,NA,NA,0.0097,NA
"JAM","1990",4774.236991,2390000,0.49444,72.01597561,NA,NA,NA,NA,NA,0.0089,0.0306,NA
"JOR","1990",4305.512119,3358453,0.73291,69.92085366,NA,NA,NA,NA,NA,NA,0.0366,NA
"JPN","1990",19229.66581,123537000,0.77339,78.83682927,NA,NA,NA,NA,NA,NA,0.0063,NA
"KAZ","1990",8790.821411,16348000,0.56266,68.33658537,NA,NA,NA,NA,NA,NA,0.0526,NA
"KEN","1990",1535.668458,23446229,0.16748,58.80204878,NA,NA,NA,NA,NA,NA,0.1023,NA
"KGZ","1990",2245.792716,4391200,0.37777,68.29756098,NA,NA,NA,NA,NA,NA,0.065,NA
"KHM","1990",NA,9008856,0.15546,53.51007317,NA,NA,NA,NA,NA,NA,0.1173,NA
"KIR","1990",921.4640708,72411,0.34987,60.35082927,NA,NA,NA,NA,NA,NA,0.096,NA
"KNA","1990",9268.96873,40833,0.34609,NA,NA,NA,NA,NA,NA,NA,0.0284,NA
"KOR","1990",8436.246014,42869283,0.73844,71.2997561,NA,NA,NA,NA,NA,NA,0.0071,NA
"KSV","1990",NA,1862000,NA,67.74878049,NA,NA,NA,NA,NA,NA,NA,NA
"KWT","1990",NA,2058832,0.97974,72.28156098,NA,NA,NA,NA,NA,NA,0.0179,NA
"LAC","1990",5762.761689,391260832,0.6850631629,67.17109295,NA,NA,NA,NA,0.85216,0.0864,0.0584,NA
"LAO","1990",1047.773523,4247839,0.15437,53.55207317,NA,NA,NA,NA,NA,NA,0.1624,NA
"LBN","1990",4998.968902,2703019,0.8312,70.22114634,NA,NA,NA,NA,NA,NA,0.0325,NA
"LBR","1990",NA,2102877,0.55422,47.20243902,NA,NA,NA,NA,NA,NA,0.255,NA
"LBY","1990",NA,4398419,0.75723,68.62990244,NA,NA,NA,NA,NA,NA,0.0416,NA
"LCA","1990",5178.634516,138180,0.29349,71.04943902,NA,NA,NA,NA,NA,NA,0.0226,NA
"LCN","1990",5926.574699,446014681,0.7045547911,67.75792616,NA,NA,NA,NA,0.8670144,NA,0.05425259285,NA
"LDC","1990",871.6623144,510057629,0.2107836537,51.6590421,NA,NA,NA,NA,0.4587848,NA,0.1758860662,NA
"LIC","1990",720.591033,321732573,0.2258264391,49.79366992,NA,NA,NA,NA,0.4702174,0.3093,0.1872,NA
"LIE","1990",NA,28745,0.16928,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LKA","1990",2369.185708,17078000,0.18566,69.6794878,NA,NA,NA,NA,NA,0.0149,0.0212,NA
"LMC","1990",1793.091069,1905832740,0.2985120441,59.6152495,NA,NA,NA,NA,0.5850734,0.1387,0.1195,NA
"LMY","1990",2412.683288,4248361904,0.3530037746,62.97418626,NA,NA,NA,NA,0.680769,0.1565,0.1018,NA
"LSO","1990",840.582863,1597534,0.13967,59.33109756,NA,NA,NA,NA,NA,NA,0.0881,NA
"LTE","1990",2855.997045,1849669474,0.3876888607,68.86780275,NA,NA,NA,NA,0.8198427,NA,0.05040445925,NA
"LTU","1990",NA,3697838,0.67583,71.16073171,NA,NA,NA,NA,NA,NA,0.0165,NA
"LUX","1990",32083.18626,381850,0.80947,75.01041463,NA,NA,NA,NA,NA,NA,0.0088,NA
"LVA","1990",NA,2663151,0.6925,69.27317073,NA,NA,NA,NA,NA,NA,0.0204,NA
"MAC","1990",22228.86028,359735,0.99763,75.27697561,NA,NA,NA,NA,NA,NA,NA,NA
"MAF","1990",NA,30036,NA,74.52195122,NA,NA,NA,NA,NA,NA,NA,NA
"MAR","1990",2521.369376,24950128,0.48391,64.6804878,NA,NA,NA,NA,NA,0.004,0.0801,NA
"MCO","1990",NA,29438,1,NA,NA,NA,NA,NA,NA,NA,0.0078,NA
"MDA","1990",4162.200456,3696000,0.46762,67.46565854,NA,NA,NA,NA,NA,NA,0.0331,NA
"MDG","1990",1073.382255,11545782,0.23566,51.00809756,NA,NA,NA,NA,NA,NA,0.1607,NA
"MDV","1990",NA,218000,0.2584,61.4185122,NA,NA,NA,NA,0.9601826,NA,0.0941,NA
"MEA","1990",7242.601465,254531443,0.5486465033,65.79824927,NA,NA,NA,NA,0.5844825,NA,0.06556980632,NA
"MEX","1990",6019.262211,85609404,0.71419,70.79573171,NA,NA,NA,NA,0.8755615,NA,0.0466,NA
